snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00205000,205.0,76.55,74.95,78.6,-17.629997,-18.719471,9.0,1,2.281254296875,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00210000,210.0,71.65,69.95,73.6,-0.5,-0.6930007,14.0,2,2.1250046874999997,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00220000,220.0,62.4,59.95,63.6,-15.879997,-20.28615,20.0,1,1.8203133984375,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00230000,230.0,52.35,49.95,53.55,3.9199982,8.094152,254.0,19,1.3437532812499997,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00235000,235.0,45.1,44.95,48.6,0.3199997,0.7146041,15.0,1,1.3750031249999999,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00245000,245.0,37.55,34.95,38.6,-16.280003,-30.243362,229.0,1,1.0859420703125,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00250000,250.0,30.87,29.95,33.6,0.9700012,3.2441514,4.0,10,0.945313046875,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00255000,255.0,25.31,25.1,28.2,-18.72,-42.516464,4.0,0,1.6625993432617188,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00260000,260.0,20.4,19.9,23.6,3.6999989,22.15568,10.0,34,0.57812921875,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00262500,262.5,18.12,17.55,21.1,1.7200012,10.487813,4.0,1,0.6796907031250001,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00265000,265.0,17.7,15.2,17.4,1.1000004,6.626508,24.0,38,0.929688203125,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00267500,267.5,13.02,13.55,14.9,-5.2199993,-28.618418,7.0,46,0.8237322314453124,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00270000,270.0,11.87,11.35,12.4,-2.13,-15.214287,36.0,187,0.7158231542968749,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00272500,272.5,9.9,8.65,9.9,-0.35000038,-3.4146378,103.0,224,0.6049844189453126,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00275000,275.0,7.37,6.0,7.15,-3.08,-29.473684,424.0,921,0.41699801757812494,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00277500,277.5,4.39,3.8,4.6,-3.81,-46.463417,2659.0,3581,0.2915109912109374,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00280000,280.0,1.83,1.23,2.2,-2.37,-56.42857,33516.0,4796,0.1914143359375,1,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00282500,282.5,0.01,0.0,0.01,-2.39,-99.583336,146327.0,3373,0.0312596875,0,281.739990234375
2026-06-29,AAPL,stock,2026-06-29,call,AAPL260629C00285000,285.0,0.01,0.0,0.01,-1.59,-99.375,113768.0,10562,0.1054776953125,0,281.739990234375
