snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00140000,140.0,90.26,89.5,92.55,2.4800034,2.8252487,2.0,43,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00150000,150.0,78.97,79.5,82.75,0.0,0.0,12.0,24,3.3203141992187497,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00155000,155.0,73.14,75.0,77.75,0.0,0.0,24.0,30,3.0937522656249996,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00160000,160.0,72.33,69.55,72.75,4.1900024,6.1491084,10.0,48,2.8750028125,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00165000,165.0,67.01,64.5,67.6,5.1800003,8.37781,18.0,76,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00170000,170.0,61.71,59.5,62.75,4.799999,8.434369,50.0,146,2.4531288671875,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00175000,175.0,56.96,54.5,57.75,3.8600006,7.2693048,1.0,20,2.2500043749999996,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00180000,180.0,49.5,49.5,52.6,1.4199982,2.953407,90.0,217,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00185000,185.0,43.6,44.45,47.75,0.43999863,1.0194592,66.0,59,1.8515632421875,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00190000,190.0,38.76,39.5,42.1,0.65999985,1.7322831,26.0,262,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00195000,195.0,37.0,34.5,37.75,3.9199982,11.850055,37.0,26,1.46875265625,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00200000,200.0,28.55,29.4,32.55,1.8400002,6.8888063,84.0,191,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00202500,202.5,29.1,26.9,29.6,3.5900002,14.072912,13.0,100,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00205000,205.0,26.95,24.4,27.15,2.8200016,11.686704,30.0,123,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00207500,207.5,23.22,22.0,24.55,3.67,18.772379,6.0,349,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00210000,210.0,22.0,20.75,21.95,4.799999,27.906973,207.0,323,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00212500,212.5,20.0,18.25,19.45,6.3599997,46.62756,30.0,231,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00215000,215.0,16.93,14.35,16.9,5.58,49.162994,248.0,216,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00217500,217.5,15.05,12.25,14.45,5.84,63.409336,133.0,144,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00220000,220.0,12.15,9.75,12.0,5.3499994,78.67646,854.0,1019,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00222500,222.5,9.95,7.25,9.45,5.5099998,124.0991,519.0,321,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00225000,225.0,7.22,4.95,6.95,3.9099998,118.12689,4627.0,2149,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00227500,227.5,4.54,2.5,4.45,2.65,140.21165,12798.0,2439,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00230000,230.0,2.08,0.45,2.3,1.1599998,126.08693,63213.0,8416,1.0000000000000003e-05,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00232500,232.5,0.22,0.08,0.38,-0.21000001,-48.837208,82541.0,4623,0.056650058593750004,1,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00235000,235.0,0.03,0.01,0.05,-0.17,-85.0,48362.0,11986,0.1289149609375,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00237500,237.5,0.01,0.0,0.02,-0.1,-90.90909,9178.0,9035,0.195320546875,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00240000,240.0,0.02,0.0,0.01,-0.030000001,-60.0,6335.0,8833,0.2500075,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00242500,242.5,0.01,0.0,0.01,-0.03,-75.0,3952.0,7819,0.32813171874999997,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00245000,245.0,0.01,0.0,0.01,-0.02,-66.66667,1361.0,12586,0.39063109375,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00247500,247.5,0.01,0.0,0.01,-0.01,-50.0,1307.0,12449,0.46094289062500005,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00250000,250.0,0.01,0.0,0.01,-0.01,-50.0,5123.0,22860,0.500005,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00252500,252.5,0.01,0.0,0.01,-0.01,-50.0,409.0,4209,0.5625043750000001,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00255000,255.0,0.01,0.0,0.01,0.0,0.0,294.0,7159,0.6093789062500001,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00257500,257.5,0.01,0.0,0.01,0.0,0.0,172.0,4656,0.6718782812500002,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00260000,260.0,0.01,0.0,0.01,0.0,0.0,563.0,5920,0.7187528125,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00262500,262.5,0.01,0.0,0.01,0.0,0.0,86.0,2380,0.7812521875,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00265000,265.0,0.01,0.0,0.01,0.0,0.0,317.0,6679,0.8437515624999999,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00267500,267.5,0.01,0.0,0.01,-0.060000002,-85.71429,76.0,582,0.9062509375,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00270000,270.0,0.01,0.0,0.01,0.0,0.0,244.0,4605,0.937500625,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00272500,272.5,0.01,0.0,0.01,0.0,0.0,9.0,623,1.000005,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00275000,275.0,0.01,0.0,0.01,0.0,0.0,29.0,5337,1.0625046875000002,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00277500,277.5,0.01,0.0,0.04,-0.03,-75.0,10.0,854,1.2656286718749998,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00280000,280.0,0.01,0.0,0.01,-0.02,-66.66667,1.0,9375,1.15625421875,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00285000,285.0,0.01,0.0,0.01,0.0,0.0,3.0,1595,1.2500037499999999,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00290000,290.0,0.01,0.0,0.01,0.0,0.0,20.0,2433,1.3750031249999999,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00295000,295.0,0.02,0.0,0.01,0.0,0.0,1.0,1410,1.4375028125,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00300000,300.0,0.01,0.0,0.01,0.0,0.0,1.0,2184,1.5625021874999998,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00305000,305.0,0.01,0.0,0.01,0.0,0.0,15.0,510,1.625001875,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00310000,310.0,0.01,0.0,0.01,0.0,0.0,2.0,807,1.75000125,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00315000,315.0,0.1,0.0,0.18,0.0,0.0,1.0,1174,2.4023477441406245,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00320000,320.0,0.01,0.0,0.18,0.0,0.0,1.0,603,2.50781623046875,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00325000,325.0,0.01,0.0,0.01,0.0,0.0,3.0,449,1.96875015625,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00330000,330.0,0.1,0.0,0.01,0.0,0.0,2.0,150,2.0625048437499998,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00335000,335.0,0.01,0.0,0.18,0.0,0.0,20.0,346,2.82031544921875,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00340000,340.0,0.01,0.0,0.18,0.0,0.0,1.0,27,2.9140652148437503,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00345000,345.0,0.01,0.0,0.02,0.0,0.0,2.0,79,2.43750390625,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00350000,350.0,0.11,0.0,0.18,0.0,0.0,1.0,7,3.1093772265624997,0,232.69000244140625
2026-06-26,AMZN,stock,2026-06-26,call,AMZN260626C00355000,355.0,0.04,0.0,0.18,0.0,0.0,2.0,4,3.2031269921874994,0,232.69000244140625
