snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00155000,155.0,234.11,219.05,221.75,0.0,0.0,4.0,39,6.025393093261719,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00160000,160.0,217.84,213.25,216.75,-11.309998,-4.935631,4.0,11,5.361331423339842,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00165000,165.0,212.86,208.3,211.75,-11.309998,-5.045277,4.0,10,5.216800354003905,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00170000,170.0,220.65,204.05,206.75,0.0,0.0,4.0,9,5.447268815917968,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00175000,175.0,215.67,198.3,201.75,0.0,0.0,2.0,14,4.871097661132811,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00180000,180.0,209.22,193.45,196.75,0.0,0.0,2.0,12,4.794925881347655,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00185000,185.0,204.24,189.05,191.75,0.0,0.0,2.0,13,4.917972602539061,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00190000,190.0,204.37,183.3,186.75,0.0,0.0,10.0,28,4.39062951171875,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00195000,195.0,193.66,179.05,181.75,0.0,0.0,2.0,55,4.587894890136719,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00200000,200.0,177.84,173.35,176.8,-10.839996,-5.7451754,5.0,78,4.1425829467773445,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00210000,210.0,178.31,164.3,166.8,0.0,0.0,6.0,367,4.228520339355469,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00220000,220.0,156.33,154.05,156.8,-12.0,-7.128854,11.0,164,3.847656630859375,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00230000,230.0,155.58,144.1,146.85,0.0,0.0,2.0,110,3.5966806958007815,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00240000,240.0,149.0,134.05,136.8,0.0,0.0,1.0,243,3.2929705175781248,1,374.45001220703125
2026-07-16,AVGO,stock,2026-07-17,call,AVGO260717C00250000,250.0,129.19,123.3,126.8,-9.660004,-6.9571505,3.0,273,2.7890655273437504,1,374.45001220703125
