snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00310000,310.0,178.2,183.7,186.55,0.0,0.0,5.0,5,2.2656293359374997,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00400000,400.0,90.0,93.75,96.7,0.0,0.0,1.0,12,1.179203322753906,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00425000,425.0,63.69,68.3,71.85,0.0,0.0,1.0,30,0.8242205078124999,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00430000,430.0,61.25,63.3,66.6,0.0,0.0,,1,0.70117486328125,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00435000,435.0,57.99,58.2,61.65,0.0,0.0,1.0,1,0.632816171875,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00440000,440.0,46.72,53.35,56.65,0.0,0.0,5.0,2,0.6279334082031252,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00450000,450.0,44.5,43.45,46.6,0.0,0.0,2.0,144,0.5336960693359375,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00455000,455.0,41.45,38.8,41.85,3.6900024,9.772253,1.0,27,0.5644574804687501,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00460000,460.0,33.78,33.4,36.6,0.0,0.0,1.0,157,0.6894562304687502,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00465000,465.0,28.0,28.65,31.75,0.0,0.0,5.0,12,0.6315954809570312,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00470000,470.0,23.0,23.2,26.65,0.0,0.0,10.0,35,0.5455367712402344,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00472500,472.5,14.7,20.8,24.35,0.0,0.0,6.0,6,0.5256395092773438,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00475000,475.0,18.22,18.9,21.7,0.0,0.0,3.0,151,0.4726615234375,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00477500,477.5,10.4,15.9,19.35,0.0,0.0,22.0,20,0.44556218505859374,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00480000,480.0,15.7,13.85,16.8,1.6999998,12.142856,26.0,231,0.40039662109375,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00482500,482.5,13.23,11.9,13.9,1.0899992,8.978577,6.0,84,0.3266668896484375,1,494.80999755859375
2026-06-24,BRK-B,stock,2026-06-26,call,BRKB260626C00485000,485.0,10.95,9.15,11.5,1.6199999,17.363342,11.0,499,0.2926096130371093,1,494.80999755859375
