snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00440000,440.0,86.7,82.55,83.05,0.0,0.0,,1,1.201175869140625,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00450000,450.0,68.74,72.55,73.05,0.0,0.0,3.0,2,1.072514403076172,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00455000,455.0,71.52,67.55,68.05,0.0,0.0,2.0,37,1.0083057397460937,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00465000,465.0,56.91,57.55,58.05,0.0,0.0,1.0,1,0.8803722900390624,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00475000,475.0,51.78,47.55,48.05,0.0,0.0,,1,0.75195560546875,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00480000,480.0,42.37,42.55,43.05,0.0,0.0,2.0,1,0.6870148486328126,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00485000,485.0,34.75,37.55,38.05,0.0,0.0,3.0,4,0.6218299536132813,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00490000,490.0,33.31,32.55,33.05,1.4100018,4.4200683,92.0,264,0.5559126440429689,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00492000,492.0,27.75,30.55,31.05,0.0,0.0,100.0,101,0.5293015820312501,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00495000,495.0,27.45,27.55,28.05,1.0400009,3.9379058,9.0,175,0.5151415673828125,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00496000,496.0,27.82,26.55,27.05,0.0,0.0,1.0,1,0.5012256909179689,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00497000,497.0,22.89,25.55,26.05,0.0,0.0,100.0,101,0.48730981445312505,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00497500,497.5,21.84,25.05,25.55,0.0,0.0,4.0,0,0.4802298071289062,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00498000,498.0,25.34,24.55,25.05,0.0,0.0,1.0,1,0.4731497998046875,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00499000,499.0,24.89,23.55,24.05,0.0,0.0,1.0,0,0.45898978515625005,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00500000,500.0,22.15,22.6,23.05,3.8899994,21.303392,5.0,24,0.44470770141601557,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00501000,501.0,25.72,21.6,22.1,0.0,0.0,,1,0.43494217407226565,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00502000,502.0,17.9,20.6,21.1,0.0,0.0,2.0,4,0.4204159521484375,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00503000,503.0,16.4,19.6,20.1,0.0,0.0,2.0,6,0.4057676611328125,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00504000,504.0,22.95,18.6,19.1,0.0,0.0,132.0,36,0.39111937011718745,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00505000,505.0,18.8,17.6,18.1,0.55999947,3.0701725,177.0,479,0.37622694091796877,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00506000,506.0,15.85,16.6,17.1,0.0,0.0,5.0,70,0.36121244262695307,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00507000,507.0,13.77,15.6,16.1,0.0,0.0,3.0,4,0.3460758752441406,1,521.469970703125
2026-07-22,DIA,etf_proxy,2026-07-24,call,DIA260724C00507500,507.5,15.9,15.1,15.6,0.0,0.0,,1,0.33850759155273435,1,521.469970703125
