snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00005000,5.0,361.37,360.8,364.4,0.8999939,0.24967234,2.0,1116,49.656252241210936,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00010000,10.0,356.47,356.05,358.85,0.8999939,0.253113,3.0,1,34.48437961181641,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00015000,15.0,350.2,351.15,353.85,-0.42999268,-0.12263431,1.0,1,29.843750673828122,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00020000,20.0,343.71,346.15,348.85,-1.1900024,-0.34502825,2.0,2,26.781251630859376,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00025000,25.0,341.34,341.15,344.35,67.139984,24.485771,7.0,0,26.820314118652345,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00030000,30.0,336.44,336.05,338.8,1.769989,0.5288759,7.0,6,22.42969049072266,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00035000,35.0,330.49,331.15,333.7,0.7200012,0.21833436,5.0,6,20.43750361328125,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00040000,40.0,325.59,326.15,328.8,0.9700012,0.2988113,7.0,4,19.703128842773438,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00045000,45.0,321.55,320.6,323.1,1.8299866,0.5723716,13.0,2,1.0000000000000003e-05,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00050000,50.0,316.65,317.05,319.55,2.2299805,0.70923615,10.0,4,14.515625927734376,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00055000,55.0,310.41,311.05,313.65,0.02999878,0.009665178,2.0,3,16.171879946289067,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00060000,60.0,303.54,306.15,309.2,-1.9400024,-0.6350669,1.0,6,17.261723355712896,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00065000,65.0,298.58,301.15,304.2,-1.2700195,-0.42355162,2.0,0,16.496098594970704,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00070000,70.0,295.29,296.15,298.85,0.33999634,0.11527253,5.0,2,14.824219484863281,1,368.1499938964844
2026-06-18,GOOGL,stock,2026-06-18,call,GOOGL260618C00075000,75.0,290.39,291.1,293.8,-0.5999756,-0.20618427,5.0,6,14.058594963378908,1,368.1499938964844
