snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00230000,230.0,67.5,69.09,69.41,1.4700012,2.2262626,3.0,2,2.566409833984375,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00263000,263.0,35.25,36.09,36.41,3.2700005,10.2251425,114.0,1,1.404299853515625,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00272000,272.0,26.57,27.09,27.41,1.3299999,5.2694135,119.0,2,1.0947310888671877,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00273000,273.0,25.01,26.09,26.41,-1.039999,-3.9923189,200.0,12,1.0605515722656251,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00276000,276.0,21.35,23.09,23.41,1.8099995,9.263046,66.0,11,0.9570316796874999,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00277000,277.0,21.33,22.09,22.41,1.0300007,5.073895,59.0,12,0.92187578125,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00278000,278.0,20.16,21.09,21.41,9.01,80.807175,26.0,1,0.8867198828124999,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00279000,279.0,18.48,20.09,20.41,6.3499994,52.34954,29.0,8,0.851563984375,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00280000,280.0,17.25,19.09,19.41,1.0499992,6.4814763,76.0,13,0.8173846386718748,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00281000,281.0,16.11,18.09,18.41,0.960001,6.3366404,64.0,22,0.782228740234375,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00282000,282.0,15.1,17.09,17.41,0.42000008,2.8610358,31.0,97,0.7460962890625,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00283000,283.0,14.05,16.09,16.41,-0.09000015,-0.63649327,68.0,19,0.710940390625,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00284000,284.0,13.32,15.09,15.41,-0.94000053,-6.591869,60.0,34,0.6757844921875001,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00285000,285.0,12.42,14.09,14.41,0.9800005,8.566438,15.0,254,0.639652041015625,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00286000,286.0,11.27,13.09,13.41,1.0600004,10.381983,14.0,75,0.6035195898437502,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00287000,287.0,10.43,12.09,12.41,0.26000023,2.556541,38.0,160,0.5664105859375,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00288000,288.0,9.55,11.09,11.4,1.3600006,16.605625,40.0,295,0.5283250292968751,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00289000,289.0,8.54,10.09,10.41,0.119999886,1.4251767,7.0,196,0.5488326367187502,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00290000,290.0,7.64,9.09,9.37,0.69000006,9.928059,34.0,1424,0.49609878906250005,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00291000,291.0,7.44,8.09,8.41,2.3000002,44.747086,103.0,202,0.467778759765625,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00292000,292.0,6.56,7.09,7.33,1.1100001,20.366976,99.0,601,0.4028380029296875,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00293000,293.0,5.45,6.09,6.41,0.6499996,13.541658,187.0,275,0.383795224609375,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00294000,294.0,4.52,5.09,5.33,0.53,13.283207,329.0,317,0.3193427441406249,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00295000,295.0,4.1,4.17,4.33,0.89999986,28.124994,1147.0,754,0.27539787109374997,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00296000,296.0,3.3,3.09,3.33,0.8399999,34.14634,2538.0,974,0.2299881689453125,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00297000,297.0,2.2,2.09,2.32,0.34000003,18.279572,15913.0,1899,0.17920742675781248,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00298000,298.0,1.26,1.18,1.31,-0.03999996,-3.0769203,77278.0,3584,0.1235439208984375,1,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00299000,299.0,0.29,0.26,0.34,-0.54999995,-65.4762,110177.0,6063,0.06153282226562501,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00300000,300.0,0.01,0.0,0.01,-0.51,-98.07693,140091.0,3346,0.039072109375,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00301000,301.0,0.01,0.0,0.01,-0.28,-96.55173,96913.0,4025,0.06836869140625002,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00302000,302.0,0.01,0.0,0.01,-0.14,-93.33333,73662.0,2528,0.0937590625,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00302500,302.5,0.01,0.0,0.01,-0.09,-90.0,18237.0,1105,0.1054776953125,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00303000,303.0,0.01,0.0,0.01,-0.060000002,-85.71429,12923.0,1118,0.1211025390625,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00304000,304.0,0.01,0.0,0.01,-0.03,-75.0,10132.0,5033,0.1445398046875,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00305000,305.0,0.01,0.0,0.01,-0.01,-50.0,5581.0,999,0.16797707031250003,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00306000,306.0,0.01,0.0,0.01,-0.01,-50.0,2309.0,6515,0.1914143359375,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00307000,307.0,0.01,0.0,0.01,-0.01,-50.0,1144.0,953,0.2148516015625,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00308000,308.0,0.01,0.0,0.01,0.0,0.0,191.0,324,0.23828886718749998,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00309000,309.0,0.01,0.0,0.01,0.0,0.0,3.0,215,0.257819921875,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00310000,310.0,0.01,0.0,0.01,0.0,0.0,40.0,167,0.28125718749999995,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00311000,311.0,0.01,0.0,0.01,0.0,0.0,1.0,14,0.304694453125,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00312000,312.0,0.01,0.0,0.01,-0.01,-50.0,120.0,58,0.32813171874999997,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00313000,313.0,0.01,0.0,0.01,0.0,0.0,5.0,6,0.3437565625,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00314000,314.0,0.01,0.0,0.01,-0.02,-66.66667,5.0,228,0.367193828125,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00315000,315.0,0.01,0.0,0.01,0.0,0.0,2.0,20,0.39063109375,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00316000,316.0,0.03,0.0,0.01,0.0,0.0,50.0,25,0.4062559375,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00317000,317.0,0.17,0.0,0.01,0.0,0.0,,7,0.42969320312500003,0,298.9100036621094
2026-06-25,IWM,etf_proxy,2026-06-25,call,IWM260625C00319000,319.0,0.04,0.0,0.01,0.0,0.0,4.0,154,0.4687553125,0,298.9100036621094
