snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00300000,300.0,99.17,96.2,100.0,7.119995,7.734921,47.0,3,1.857422587890625,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00310000,310.0,89.08,86.0,89.7,4.75,5.6326337,41.0,2,1.404299853515625,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00315000,315.0,84.31,81.0,84.8,4.949997,6.2373953,54.0,2,1.39453427734375,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00320000,320.0,79.31,75.9,80.0,11.769997,17.426704,37.0,1,1.36328443359375,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00325000,325.0,74.35,71.05,74.85,11.779999,18.826912,7.0,1,1.2793004785156248,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00330000,330.0,69.05,66.05,70.0,7.7900047,12.7163,13.0,2,1.2529334228515623,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00335000,335.0,64.24,60.9,64.8,6.8499985,11.935875,14.0,5,1.0078174609375,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00337500,337.5,61.3,58.55,62.3,-2.9500008,-4.5914407,33.0,7,1.0468797656250002,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00340000,340.0,57.75,56.05,59.8,-4.2599983,-6.869857,203.0,10,1.0068409033203123,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00345000,345.0,54.2,51.05,54.7,-2.869999,-5.0289097,95.0,7,0.8808605664062499,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00347500,347.5,50.25,48.5,52.2,9.91,24.566187,57.0,1,0.8164080859374999,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00350000,350.0,47.75,46.85,49.4,-3.3600006,-6.574057,195.0,54,0.9580082324218748,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00352500,352.5,46.38,43.65,47.25,-2.2399979,-4.6071534,52.0,8,0.8212908496093749,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00355000,355.0,44.29,41.05,44.65,5.1900024,13.273664,14.0,3,0.70312796875,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00357500,357.5,41.87,38.4,42.25,-2.5800018,-5.8042784,12.0,4,0.64062859375,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00360000,360.0,39.37,36.0,39.65,-1.2800026,-3.1488378,19.0,19,0.6035195898437502,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00362500,362.5,36.85,33.55,37.25,3.9300003,11.938033,16.0,1,0.6269568554687501,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00365000,365.0,34.44,31.2,34.65,-2.5699997,-6.9440684,38.0,35,0.6025430371093752,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00370000,370.0,27.65,26.3,29.0,-3.960001,-12.527684,45.0,40,0.805666005859375,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00372500,372.5,26.01,23.7,26.85,-3.5200005,-11.920083,2.0,5,0.8095722167968749,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00375000,375.0,24.48,22.1,24.7,-1.2200012,-4.7470865,9.0,30,0.5805706005859376,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00377500,377.5,21.35,18.85,21.55,-2.9499989,-12.139913,10.0,11,0.647464462890625,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00380000,380.0,18.75,17.5,18.65,-3.0200005,-13.872304,16.0,50,0.526371923828125,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00382500,382.5,16.8,14.8,16.2,-2.75,-14.066497,6.0,106,0.47998566894531247,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00385000,385.0,14.6,12.0,14.25,-1.1199999,-7.124681,39.0,188,0.499028447265625,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00387500,387.5,11.05,9.45,12.05,-3.5500002,-24.31507,145.0,123,0.47119669433593747,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00390000,390.0,8.7,8.2,8.9,-4.6500006,-34.831463,481.0,457,0.3305731005859375,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00392500,392.5,6.8,6.55,6.85,-3.6999998,-35.23809,477.0,326,0.3117744604492187,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00395000,395.0,4.95,4.85,5.1,-4.46,-47.39639,1305.0,870,0.3039620385742187,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00397500,397.5,3.46,3.4,3.6,-4.13,-54.4137,4586.0,530,0.2957834094238281,1,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00400000,400.0,2.3,2.3,2.37,-3.8500001,-62.601624,28157.0,3110,0.2866282275390625,0,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00402500,402.5,1.52,1.48,1.56,-3.23,-68.0,20744.0,2020,0.2898020239257812,0,397.75
2026-07-21,MSFT,stock,2026-07-22,call,MSFT260722C00405000,405.0,0.95,0.92,0.98,-2.6699998,-73.7569,37537.0,3774,0.29224340576171864,0,397.75
