snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C27200000,27200.0,2496.43,1866.3,2334.2,0.0,0.0,1.0,1,0.7577157407379151,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C28500000,28500.0,875.18,792.6,857.8,0.0,0.0,2.0,3,0.2098162515258789,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C28600000,28600.0,690.0,699.7,764.8,-287.7,-29.426205,1.0,2,0.20289645988464353,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29000000,29000.0,367.49,370.9,400.9,-684.24,-65.058525,7.0,25,0.15869600467681888,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29050000,29050.0,300.3,347.0,353.4,-295.90002,-49.631,2.0,1,0.14801877380371098,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29100000,29100.0,226.0,311.6,316.2,-789.35,-77.74166,2.0,4,0.14644141225814816,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29150000,29150.0,267.0,276.6,281.4,-254.5,-48.801537,7.0,1,0.14541526895523071,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29200000,29200.0,230.52,244.0,247.8,-261.97998,-53.1939,14.0,2,0.14373109695434572,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29250000,29250.0,225.28,212.5,216.0,-236.42001,-51.20641,29.0,2,0.1418447480201721,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29300000,29300.0,201.0,183.3,186.5,-237.4,-54.15146,32.0,13,0.14006902420043943,1,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29350000,29350.0,173.2,156.0,159.0,-251.8,-59.24706,9.0,5,0.1380682354927063,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29400000,29400.0,130.0,130.5,133.8,-256.9,-66.39959,42.0,5,0.13601022689819336,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29450000,29450.0,118.0,108.1,111.6,-318.47,-72.96493,234.0,1,0.13442714336395262,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29600000,29600.0,59.02,57.0,59.5,-516.32996,-89.74189,44.0,3,0.1297618152618408,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29650000,29650.0,48.4,45.2,47.4,-287.74002,-85.60124,36.0,1,0.12898743946075442,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29700000,29700.0,37.25,35.5,37.8,-367.73,-90.80202,90.0,1,0.12892640491485596,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C29800000,29800.0,22.62,21.7,23.7,-308.4,-93.16658,47.0,3,0.12952912105560305,0,29329.2109375
2026-07-03,^NDX,index,2026-07-06,call,NDXP260706C30000000,30000.0,8.32,7.4,9.0,-163.97,-95.17094,203.0,20,0.1327982839202881,0,29329.2109375
