snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00050000,50.0,153.77,149.95,155.4,6.0,4.060364,55.0,11.0,12.693361441650392,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00055000,55.0,148.17,144.75,150.6,5.369995,3.7605007,37.0,17.0,12.074221203613284,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00060000,60.0,143.27,139.75,145.6,6.01001,4.378559,38.0,4.0,11.3125029296875,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00065000,65.0,138.33,135.5,138.75,6.050003,4.573634,163.0,31.0,8.496098439941406,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00070000,70.0,133.43,130.5,135.45,6.769989,5.3450093,26.0,39.0,6.234377207031249,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00075000,75.0,128.85,124.75,130.65,7.180008,5.9012146,49.0,6.0,9.4375041015625,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00080000,80.0,123.47,119.7,125.45,7.8199997,6.761781,80.0,2.0,8.734379541015624,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00085000,85.0,118.41,114.95,120.5,6.080002,5.412625,84.0,6.0,8.265629833984374,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00090000,90.0,113.58,109.55,115.45,9.4900055,9.117116,63.0,2.0,7.753906557617187,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00095000,95.0,108.68,105.4,110.5,6.529999,6.3925586,60.0,51.0,4.4687544140624995,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00100000,100.0,103.71,99.75,105.45,6.540001,6.7304735,86.0,75.0,6.880860773925781,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00105000,105.0,98.2,94.95,100.45,10.909996,12.498564,87.0,9.0,6.477540965576171,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00110000,110.0,94.23,89.95,97.8,7.9800034,9.252178,39.0,28.0,4.9785194018554675,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00115000,115.0,88.49,84.95,90.05,7.2299957,8.897361,63.0,35.0,5.494143757324218,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00120000,120.0,84.16,80.45,85.45,7.840004,10.272542,81.0,48.0,3.19531451171875,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00125000,125.0,78.79,74.95,80.45,4.2000046,5.630788,51.0,14.0,5.030277149658202,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00130000,130.0,73.78,70.5,75.45,6.919998,10.349982,114.0,15.0,2.8085967285156253,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00135000,135.0,68.49,64.95,70.45,4.6499977,7.2838306,51.0,17.0,4.383793582763671,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00140000,140.0,64.25,60.6,65.45,5.3199997,9.027659,61.0,144.0,2.4726600683593754,1,202.77999877929688
2026-07-09,NVDA,stock,2026-07-10,call,NVDA260710C00145000,145.0,58.12,55.7,60.15,6.4399986,12.461298,51.0,1235.0,2.0976610058593748,1,202.77999877929688
