snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00174780,174.78,565.18,563.66,567.08,11.75,2.1231232,90.0,134,13.226564233398436,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00175000,175.0,249.54,0.0,0.0,0.0,0.0,10.0,24,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00179780,179.78,557.0,558.66,562.08,-7.5,-1.3286093,4.0,5,12.974611265869143,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00180000,180.0,244.13,0.0,0.0,0.0,0.0,3.0,5,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00184780,184.78,551.85,553.66,557.08,-7.1400146,-1.2773063,2.0,25,12.730470793457034,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00185000,185.0,236.85,0.0,0.0,0.0,0.0,1.0,10,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00189780,189.78,546.97,548.66,552.08,-6.090027,-1.1011512,2.0,2,12.49414281616211,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00194780,194.78,541.93,543.66,547.08,1.6400146,0.30354342,1.0,3,12.26367421020508,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00199780,199.78,536.84,538.66,542.02,3.3400269,0.6260594,3.0,20,11.972658767089843,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00200000,200.0,227.99,0.0,0.0,0.0,0.0,23.0,20,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00204780,204.78,532.05,533.66,537.02,6.6400146,1.2637779,4.0,21,11.753908903808593,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00205000,205.0,173.1,203.0,208.0,0.0,0.0,,0,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00209780,209.78,526.65,528.66,532.07,-9.059998,-1.691213,1.0,6,11.599612125244143,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00214780,214.78,353.04,385.75,389.25,0.0,0.0,4.0,11,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00215000,215.0,204.07,0.0,0.0,0.0,0.0,4.0,5,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00219780,219.78,430.44,494.4,498.28,0.0,0.0,1.0,1,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00224780,224.78,509.23,513.66,517.02,0.0,0.0,1.0,5,10.941409411621095,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00225000,225.0,205.0,0.0,0.0,0.0,0.0,2.0,6,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00229780,229.78,459.56,508.66,512.07,0.0,0.0,1.0,2,10.800784499511721,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00230000,230.0,174.59,193.5,198.5,0.0,0.0,1.0,0,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00234780,234.78,499.25,503.66,506.99,0.0,0.0,1.0,4,10.531253417968752,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00239780,239.78,327.3,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00244780,244.78,457.9,493.78,497.07,0.0,0.0,1.0,5,10.250003593750002,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00245000,245.0,168.95,182.5,187.22,0.0,0.0,2.0,0,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00249780,249.78,486.08,488.66,492.08,-0.62002563,-0.1273938,1.0,125,10.08203494873047,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00250000,250.0,181.77,0.0,0.0,0.0,0.0,1.0,106,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00254780,254.78,477.16,483.66,487.04,0.0,0.0,2.0,15,9.871097580566406,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00255000,255.0,162.65,173.13,177.97,0.0,0.0,,9,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00259780,259.78,483.96,478.42,481.99,0.0,0.0,1.0,10,9.65625396484375,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00260000,260.0,179.0,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00264780,264.78,310.0,337.67,341.24,0.0,0.0,1.0,2,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00269780,269.78,464.97,468.58,471.85,24.369995,5.5310926,1.0,32,9.195316752929687,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00270000,270.0,167.6,0.0,0.0,0.0,0.0,50.0,151,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00274780,274.78,462.19,463.66,466.85,-7.4100037,-1.5779394,1.0,53,9.039066850585938,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00275000,275.0,163.6,0.0,0.0,0.0,0.0,50.0,51,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00279780,279.78,402.02,434.49,438.37,0.0,0.0,2.0,96,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00280000,280.0,159.08,0.0,0.0,0.0,0.0,,141,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00284780,284.78,421.52,453.58,457.08,0.0,0.0,5.0,96,8.94336378540039,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00285000,285.0,155.75,0.0,0.0,0.0,0.0,52.0,76,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00289780,289.78,445.0,448.78,452.07,0.0,0.0,2.0,117,8.783207635498046,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00290000,290.0,154.99,0.0,0.0,0.0,0.0,100.0,110,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00294780,294.78,342.81,331.52,335.27,0.0,0.0,1.0,57,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00295000,295.0,148.15,0.0,0.0,0.0,0.0,,50,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00299780,299.78,435.37,438.66,442.07,-2.5299988,-0.5777572,4.0,76,8.490239068603515,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00300000,300.0,144.15,0.0,0.0,0.0,0.0,35.0,225,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00304780,304.78,433.1,433.66,436.85,-2.0499878,-0.4710991,1.0,35,8.160161149902343,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00305000,305.0,114.32,124.0,128.5,0.0,0.0,3.0,3,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00309780,309.78,423.0,428.42,432.07,0.0,0.0,20.0,332,8.206059558715818,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00310000,310.0,137.9,0.0,0.0,0.0,0.0,1.0,18,1.0000000000000003e-05,1,740.260009765625
2026-06-18,QQQ,etf_proxy,2026-06-18,call,QQQ260618C00314780,314.78,374.8,423.81,426.85,0.0,0.0,1.0,24,7.8867188916015625,1,740.260009765625
