snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01050000,1050.0,1127.3,1389.3,1409.3,0.0,0.0,1.0,1,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01100000,1100.0,830.2,950.0,974.0,0.0,0.0,,4,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01200000,1200.0,1663.35,1750.0,1767.3,0.0,0.0,660.0,484,6.449220688476563,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01250000,1250.0,1708.49,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01400000,1400.0,1410.42,1448.9,1468.0,0.0,0.0,,1,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01450000,1450.0,468.4,635.0,659.0,0.0,0.0,,1,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01500000,1500.0,1456.08,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01550000,1550.0,1406.03,0.0,0.0,0.0,0.0,1.0,3,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01600000,1600.0,1264.24,1350.6,1369.5,0.0,0.0,31.0,34,5.3476595654296855,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01650000,1650.0,867.8,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,1,2966.5908203125
2026-06-18,^RUT,index,2026-06-18,call,RUT260618C01700000,1700.0,560.86,772.6,792.5,0.0,0.0,152.0,37,1.0000000000000003e-05,1,2966.5908203125
