snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C04600000,4600.0,2878.49,2861.9,2885.4,-7.3100586,-0.25331134,4.0,5.0,3.345704760742187,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C04800000,4800.0,2694.67,2664.8,2688.3,56.23999,2.1315703,1.0,1.0,3.6245126574707034,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C05400000,5400.0,2094.49,2064.4,2087.9,0.0,0.0,1.0,1.0,2.707034482421875,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C05600000,5600.0,1878.7,1864.8,1888.3,-18.850098,-0.99339134,2.0,2.0,2.4726600683593754,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C05900000,5900.0,1582.29,1564.4,1587.9,-6.659912,-0.4191392,1.0,1.0,2.041997082519531,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06000000,6000.0,1550.76,1461.9,1484.6,0.0,0.0,1.0,3.0,1.5180688159179687,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06400000,6400.0,1086.18,1063.3,1091.4,-3.8999023,-0.35776296,6.0,6.0,1.480959626464844,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06450000,6450.0,1056.23,1013.3,1034.5,-1.75,-0.16540955,1.0,1.0,1.1655315161132815,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06500000,6500.0,976.28,964.4,987.9,-30.70996,-3.0496788,1.0,1.0,1.2907750305175782,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06575000,6575.0,948.02,888.2,911.7,85.30005,9.887339,2.0,2.0,1.123905747680664,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06600000,6600.0,924.08,858.9,897.5,18.460022,2.038385,3.0,4.0,1.2625158944702148,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06650000,6650.0,835.94,813.2,836.7,0.0,0.0,,1.0,1.0369921197509768,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06700000,6700.0,866.73,764.4,787.9,0.0,0.0,1.0,3.0,1.0467576959228517,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06725000,6725.0,780.0,736.5,759.4,87.900024,12.70048,1.0,1.0,0.7026396923828125,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06775000,6775.0,754.65,688.2,711.2,0.0,0.0,2.0,2.0,0.8765881481933593,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06800000,6800.0,691.66,662.3,684.2,0.0,0.0,1.0,5.0,0.708010732421875,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06825000,6825.0,621.18,639.4,661.3,0.0,0.0,1.0,3.0,0.8565688171386718,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06850000,6850.0,595.74,614.3,637.3,0.0,0.0,1.0,2.0,0.848634326171875,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06875000,6875.0,592.5,587.2,609.6,-17.159973,-2.8146794,1.0,4.0,0.6552768847656252,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06890000,6890.0,574.13,571.9,608.0,-26.169983,-4.359484,1.0,1.0,0.9368292449951172,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06900000,6900.0,566.76,564.4,587.9,0.0,0.0,1.0,2.0,0.8029804858398437,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06920000,6920.0,553.01,541.9,577.0,-34.98999,-5.950679,62.0,62.0,0.8832409136962891,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06925000,6925.0,555.13,534.7,572.2,-27.96997,-4.796771,1.0,13.0,0.8489394989013672,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06940000,6940.0,568.0,521.9,544.2,0.0,0.0,,,0.5349167602539062,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06950000,6950.0,530.08,514.8,538.3,-28.070007,-5.029115,2.0,3.0,0.7564111273193359,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06975000,6975.0,498.06,489.4,512.4,-16.26001,-3.1614578,62.0,63.0,0.7015410705566407,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06990000,6990.0,520.7,470.8,493.7,70.98001,15.783156,1.0,1.0,0.8797314273071287,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C06995000,6995.0,465.56,466.9,485.9,44.619995,10.600084,1.0,1.0,0.8156756713867187,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07000000,7000.0,527.4,464.3,486.3,36.100037,7.3478603,12.0,20.0,0.6472203247070312,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07005000,7005.0,545.92,456.5,475.9,0.0,0.0,3.0,11.0,0.8017292776489257,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07010000,7010.0,540.97,451.3,471.8,0.0,0.0,3.0,11.0,0.8136310140991211,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07020000,7020.0,488.45,441.8,463.3,0.0,0.0,1.0,1.0,0.828553960571289,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07025000,7025.0,487.43,436.9,455.8,25.350006,5.4860644,3.0,4.0,0.7716697637939454,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07040000,7040.0,468.2,419.3,453.4,0.0,0.0,1.0,1.0,0.6373937628173829,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07050000,7050.0,515.4,411.0,434.5,0.0,0.0,13.0,16.0,0.8058491094970703,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07060000,7060.0,404.21,402.2,424.2,-35.399994,-8.052591,1.0,2.0,0.7858297784423829,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07065000,7065.0,400.08,383.0,430.7,-46.01001,-10.314064,20.0,20.0,0.9435735623168945,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07070000,7070.0,463.21,394.1,417.6,0.0,0.0,1.0,0.0,0.5835002587890624,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07075000,7075.0,447.34,389.8,413.3,0.0,0.0,1.0,0.0,0.5996744134521486,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07080000,7080.0,415.32,379.3,417.0,0.0,0.0,1.0,1.0,0.6363866928100587,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07085000,7085.0,377.84,375.3,398.8,-32.53,-7.926993,5.0,6.0,0.7418849053955077,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07100000,7100.0,375.62,360.0,395.4,-24.550018,-6.134897,4.0,13.0,0.598758895263672,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07110000,7110.0,359.45,351.0,388.0,-33.289978,-8.47634,5.0,5.0,0.626102371826172,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07120000,7120.0,393.57,344.1,367.6,13.600006,3.5792315,1.0,2.0,0.5217332983398437,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07125000,7125.0,336.5,339.8,363.3,-45.649994,-11.94557,1.0,29.0,0.5360764166259766,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07130000,7130.0,343.32,331.0,365.9,-22.850006,-6.240272,1.0,1.0,0.57617611328125,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07140000,7140.0,335.58,320.7,344.2,-26.070007,-7.208629,1.0,1.0,0.6657443093872072,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07145000,7145.0,301.13,316.9,350.3,0.0,0.0,,1.0,0.5589948886108399,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07150000,7150.0,333.42,314.7,338.2,-16.849976,-4.810568,1.0,41.0,0.5013477600097658,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07155000,7155.0,345.07,305.3,328.8,0.0,0.0,,1.0,0.6368139346313476,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07160000,7160.0,317.47,301.0,335.9,-31.929993,-9.138521,5.0,7.0,0.5352829675292969,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07175000,7175.0,307.72,289.8,309.3,-24.480011,-7.3690577,2.0,37.0,0.6137123590087892,1,7472.7900390625
2026-06-22,^SPX,index,2026-06-22,call,SPXW260622C07180000,7180.0,285.81,280.9,303.9,45.759995,19.062693,1.0,4.0,0.6001932070922852,1,7472.7900390625
