snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00005000,5.0,376.06,373.25,377.75,-10.209991,-2.6432266,53.0,812,56.500001171875,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00010000,10.0,378.87,367.6,374.75,0.0,0.0,5.0,5,31.046875297851564,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00015000,15.0,399.52,363.1,370.05,0.0,0.0,7.0,7,30.437500488281252,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00020000,20.0,368.84,357.8,364.75,0.0,0.0,10.0,10,25.250002109375004,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00025000,25.0,363.84,352.6,360.15,0.0,0.0,6.0,6,23.843752548828125,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00030000,30.0,360.77,347.8,354.75,0.0,0.0,1.0,5,21.48437828613281,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00040000,40.0,344.62,337.8,344.7,-13.640015,-3.8072948,2.0,9,18.765629135742188,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00045000,45.0,336.31,332.8,339.7,-10.769989,-3.103028,4.0,3,17.750004453125,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00050000,50.0,331.4,327.8,334.7,-9.369995,-2.7496538,4.0,138,16.859379731445316,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00055000,55.0,328.8,322.8,329.7,-7.0700073,-2.1049833,4.0,5,16.046879985351566,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00060000,60.0,323.82,317.8,324.7,-6.889984,-2.0833917,4.0,11,15.320312924804687,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00065000,65.0,325.47,312.8,319.7,0.0,0.0,2.0,2,14.65625083984375,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00070000,70.0,314.05,307.8,314.7,-6.51001,-2.0308242,4.0,5,14.039063725585939,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00080000,80.0,303.61,297.8,304.7,-6.4900208,-2.09288,4.0,14,12.945314409179689,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00085000,85.0,298.64,292.8,299.7,-6.5599976,-2.1494093,4.0,7,12.453127216796876,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00090000,90.0,293.23,287.8,294.7,-7.470001,-2.4842038,8.0,7,11.992190004882813,1,380.8399963378906
2026-07-17,TSLA,stock,2026-07-17,call,TSLA260717C00095000,95.0,288.92,282.8,289.7,-6.039978,-2.0477278,6.0,6,11.554690278320313,1,380.8399963378906
